policy,n_servers,steps,rebalance_every,avg_latency,p95_latency,imbalance,hottest_server,max_server_heat,replicate
greedy,4,2000,50,198.78616640757502,238.81391124588282,35679.62541606291,0,86.7255404385003,0
greedy,4,2000,50,194.0430410105258,231.92940921119364,16461.483350418188,3,51.30993023683658,1
greedy,4,2000,50,192.82584940215744,232.78285553331298,19358.161938575762,3,51.930334830859785,2
greedy,4,2000,50,194.02826681182566,233.5602165329894,21989.578628078616,1,52.94204314505649,3
greedy,4,2000,50,192.8361973927473,231.41867688044897,22757.214856148694,1,56.55104796630414,4
greedy,4,2000,50,195.43623970212218,235.19435215695998,29270.90768352202,0,76.19524136377422,5
greedy,4,2000,50,193.7047787294012,232.63681146925015,17611.061266645236,0,51.238717651209555,6
greedy,4,2000,50,194.28578852884067,234.3600827264298,25681.430545086077,1,63.08558236235361,7
greedy,4,2000,50,196.82238003434523,235.9764642609139,36146.341436210205,3,90.78280098301565,8
greedy,4,2000,50,192.84314917815593,232.37829625332012,19551.171714154316,3,52.00615176327192,9
greedy,8,2000,50,198.78616640757502,238.81391124588282,36011.950929963066,0,86.7255404385003,0
greedy,8,2000,50,194.0430410105258,231.92940921119364,20849.096182087676,3,51.30993023683658,1
greedy,8,2000,50,192.82584940215744,232.78285553331298,21065.269759667943,3,51.930334830859785,2
greedy,8,2000,50,194.02826681182566,233.5602165329894,22046.77988011762,1,52.94204314505649,3
greedy,8,2000,50,192.8361973927473,231.41867688044897,23498.335183375737,1,56.55104796630414,4
greedy,8,2000,50,195.43623970212218,235.19435215695998,30946.7916239496,0,76.19524136377422,5
greedy,8,2000,50,193.7047787294012,232.63681146925015,21051.264036233515,0,51.238717651209555,6
greedy,8,2000,50,194.28578852884067,234.3600827264298,26301.18770608659,1,63.08558236235361,7
greedy,8,2000,50,196.82238003434523,235.9764642609139,36179.59182170123,3,90.78280098301565,8
greedy,8,2000,50,192.84314917815593,232.37829625332012,21458.21622606485,3,52.00615176327192,9
greedy,16,2000,50,198.78616640757502,238.81391124588282,36011.950929963066,0,86.7255404385003,0
greedy,16,2000,50,194.0430410105258,231.92940921119364,20849.096182087676,3,51.30993023683658,1
greedy,16,2000,50,192.82584940215744,232.78285553331298,21065.269759667943,3,51.930334830859785,2
greedy,16,2000,50,194.02826681182566,233.5602165329894,22046.77988011762,1,52.94204314505649,3
greedy,16,2000,50,192.8361973927473,231.41867688044897,23498.335183375737,1,56.55104796630414,4
greedy,16,2000,50,195.43623970212218,235.19435215695998,30946.7916239496,0,76.19524136377422,5
greedy,16,2000,50,193.7047787294012,232.63681146925015,21051.264036233515,0,51.238717651209555,6
greedy,16,2000,50,194.28578852884067,234.3600827264298,26301.18770608659,1,63.08558236235361,7
greedy,16,2000,50,196.82238003434523,235.9764642609139,36179.59182170123,3,90.78280098301565,8
greedy,16,2000,50,192.84314917815593,232.37829625332012,21458.21622606485,3,52.00615176327192,9
greedy,32,2000,50,198.78616640757502,238.81391124588282,36011.950929963066,0,86.7255404385003,0
greedy,32,2000,50,194.0430410105258,231.92940921119364,20849.096182087676,3,51.30993023683658,1
greedy,32,2000,50,192.82584940215744,232.78285553331298,21065.269759667943,3,51.930334830859785,2
greedy,32,2000,50,194.02826681182566,233.5602165329894,22046.77988011762,1,52.94204314505649,3
greedy,32,2000,50,192.8361973927473,231.41867688044897,23498.335183375737,1,56.55104796630414,4
greedy,32,2000,50,195.43623970212218,235.19435215695998,30946.7916239496,0,76.19524136377422,5
greedy,32,2000,50,193.7047787294012,232.63681146925015,21051.264036233515,0,51.238717651209555,6
greedy,32,2000,50,194.28578852884067,234.3600827264298,26301.18770608659,1,63.08558236235361,7
greedy,32,2000,50,196.82238003434523,235.9764642609139,36179.59182170123,3,90.78280098301565,8
greedy,32,2000,50,192.84314917815593,232.37829625332012,21458.21622606485,3,52.00615176327192,9
greedy,64,2000,50,198.78616640757502,238.81391124588282,36011.950929963066,0,86.7255404385003,0
greedy,64,2000,50,194.0430410105258,231.92940921119364,20849.096182087676,3,51.30993023683658,1
greedy,64,2000,50,192.82584940215744,232.78285553331298,21065.269759667943,3,51.930334830859785,2
greedy,64,2000,50,194.02826681182566,233.5602165329894,22046.77988011762,1,52.94204314505649,3
greedy,64,2000,50,192.8361973927473,231.41867688044897,23498.335183375737,1,56.55104796630414,4
greedy,64,2000,50,195.43623970212218,235.19435215695998,30946.7916239496,0,76.19524136377422,5
greedy,64,2000,50,193.7047787294012,232.63681146925015,21051.264036233515,0,51.238717651209555,6
greedy,64,2000,50,194.28578852884067,234.3600827264298,26301.18770608659,1,63.08558236235361,7
greedy,64,2000,50,196.82238003434523,235.9764642609139,36179.59182170123,3,90.78280098301565,8
greedy,64,2000,50,192.84314917815593,232.37829625332012,21458.21622606485,3,52.00615176327192,9
greedy,128,2000,50,198.78616640757502,238.81391124588282,36011.950929963066,0,86.7255404385003,0
greedy,128,2000,50,194.0430410105258,231.92940921119364,20849.096182087676,3,51.30993023683658,1
greedy,128,2000,50,192.82584940215744,232.78285553331298,21065.269759667943,3,51.930334830859785,2
greedy,128,2000,50,194.02826681182566,233.5602165329894,22046.77988011762,1,52.94204314505649,3
greedy,128,2000,50,192.8361973927473,231.41867688044897,23498.335183375737,1,56.55104796630414,4
greedy,128,2000,50,195.43623970212218,235.19435215695998,30946.7916239496,0,76.19524136377422,5
greedy,128,2000,50,193.7047787294012,232.63681146925015,21051.264036233515,0,51.238717651209555,6
greedy,128,2000,50,194.28578852884067,234.3600827264298,26301.18770608659,1,63.08558236235361,7
greedy,128,2000,50,196.82238003434523,235.9764642609139,36179.59182170123,3,90.78280098301565,8
greedy,128,2000,50,192.84314917815593,232.37829625332012,21458.21622606485,3,52.00615176327192,9
greedy,16,2000,10,198.78616640757502,238.81391124588282,36011.950929963066,0,86.7255404385003,0
greedy,16,2000,10,194.0430410105258,231.92940921119364,20849.096182087676,3,51.30993023683658,1
greedy,16,2000,10,192.82584940215744,232.78285553331298,21065.269759667943,3,51.930334830859785,2
greedy,16,2000,10,194.02826681182566,233.5602165329894,22046.77988011762,1,52.94204314505649,3
greedy,16,2000,10,192.8361973927473,231.41867688044897,23498.335183375737,1,56.55104796630414,4
greedy,16,2000,10,195.43623970212218,235.19435215695998,30946.7916239496,0,76.19524136377422,5
greedy,16,2000,10,193.7047787294012,232.63681146925015,21051.264036233515,0,51.238717651209555,6
greedy,16,2000,10,194.28578852884067,234.3600827264298,26301.18770608659,1,63.08558236235361,7
greedy,16,2000,10,196.82238003434523,235.9764642609139,36179.59182170123,3,90.78280098301565,8
greedy,16,2000,10,192.84314917815593,232.37829625332012,21458.21622606485,3,52.00615176327192,9
greedy,16,2000,25,198.78616640757502,238.81391124588282,36011.950929963066,0,86.7255404385003,0
greedy,16,2000,25,194.0430410105258,231.92940921119364,20849.096182087676,3,51.30993023683658,1
greedy,16,2000,25,192.82584940215744,232.78285553331298,21065.269759667943,3,51.930334830859785,2
greedy,16,2000,25,194.02826681182566,233.5602165329894,22046.77988011762,1,52.94204314505649,3
greedy,16,2000,25,192.8361973927473,231.41867688044897,23498.335183375737,1,56.55104796630414,4
greedy,16,2000,25,195.43623970212218,235.19435215695998,30946.7916239496,0,76.19524136377422,5
greedy,16,2000,25,193.7047787294012,232.63681146925015,21051.264036233515,0,51.238717651209555,6
greedy,16,2000,25,194.28578852884067,234.3600827264298,26301.18770608659,1,63.08558236235361,7
greedy,16,2000,25,196.82238003434523,235.9764642609139,36179.59182170123,3,90.78280098301565,8
greedy,16,2000,25,192.84314917815593,232.37829625332012,21458.21622606485,3,52.00615176327192,9
greedy,16,2000,50,198.78616640757502,238.81391124588282,36011.950929963066,0,86.7255404385003,0
greedy,16,2000,50,194.0430410105258,231.92940921119364,20849.096182087676,3,51.30993023683658,1
greedy,16,2000,50,192.82584940215744,232.78285553331298,21065.269759667943,3,51.930334830859785,2
greedy,16,2000,50,194.02826681182566,233.5602165329894,22046.77988011762,1,52.94204314505649,3
greedy,16,2000,50,192.8361973927473,231.41867688044897,23498.335183375737,1,56.55104796630414,4
greedy,16,2000,50,195.43623970212218,235.19435215695998,30946.7916239496,0,76.19524136377422,5
greedy,16,2000,50,193.7047787294012,232.63681146925015,21051.264036233515,0,51.238717651209555,6
greedy,16,2000,50,194.28578852884067,234.3600827264298,26301.18770608659,1,63.08558236235361,7
greedy,16,2000,50,196.82238003434523,235.9764642609139,36179.59182170123,3,90.78280098301565,8
greedy,16,2000,50,192.84314917815593,232.37829625332012,21458.21622606485,3,52.00615176327192,9
greedy,16,2000,100,198.78616640757502,238.81391124588282,36011.950929963066,0,86.7255404385003,0
greedy,16,2000,100,194.0430410105258,231.92940921119364,20849.096182087676,3,51.30993023683658,1
greedy,16,2000,100,192.82584940215744,232.78285553331298,21065.269759667943,3,51.930334830859785,2
greedy,16,2000,100,194.02826681182566,233.5602165329894,22046.77988011762,1,52.94204314505649,3
greedy,16,2000,100,192.8361973927473,231.41867688044897,23498.335183375737,1,56.55104796630414,4
